Rowid,Timestamp,Anonymized_Vehicle_Number,Vehicle_Type,Number_of_Axles,Tollplaza_ID,Tollplaza_Code,Type_of_Payment_Code,Vehicle_Code
2313,2021-08-18 21:14:11,2576951,VAN,2,4510,PC652EEF2,EF2,PTE V
2314,2021-08-03 06:34:59,9824406,VAN,2,4286,PC12BE494,494,PTP V
2315,2021-08-15 01:31:13,9132828,TRUCK,4,4150,PCC8441A8,1A8,PTE V
2316,2021-08-04 11:32:12,2843071,VAN,2,4055,PCA06B2F1,2F1,PTP V
2317,2021-08-14 01:39:31,9641681,CAR,2,4657,PCC591410,410,PTC V
2318,2021-08-06 12:16:22,2470458,CAR,2,4932,PC46C4A27,A27,PTP V
2319,2021-08-16 21:11:03,5151500,TRUCK,4,4968,PC251D4C1,4C1,PTE V
2320,2021-08-01 00:55:45,3521188,CAR,2,4075,PC2125618,618,PTP V
2321,2021-08-11 08:06:53,7180370,TRUCK,4,4293,PC2A27502,502,PTC V
2322,2021-08-16 08:18:58,1524848,CAR,2,4626,PC93E7766,766,PTC V
2323,2021-07-31 17:33:25,9716750,CAR,2,4092,PC40C2E00,E00,PTC V
2324,2021-08-19 08:29:03,280604,CAR,2,4446,PC7F1A5B9,5B9,PTC V
2325,2021-07-31 06:15:36,1343714,CAR,2,4841,PCE45DE8D,E8D,PTC V
2326,2021-08-10 21:50:12,6861431,CAR,2,4284,PC0DB49FD,9FD,PTP V
2327,2021-08-13 00:08:35,805640,TRUCK,4,4164,PC578D797,797,PTC V
2328,2021-08-20 08:48:39,9583399,CAR,2,4583,PC0567192,192,PTP V
2329,2021-08-04 20:56:20,4595595,CAR,2,4492,PC0BF2899,899,PTP V
2330,2021-08-05 14:25:13,8132088,CAR,2,4378,PC074E6A8,6A8,PTP V
2331,2021-08-17 09:16:31,6653572,VAN,2,4088,PC14008D5,8D5,PTC V
2332,2021-08-06 12:08:59,179154,CAR,2,4811,PCBF83C7A,C7A,PTC V
2333,2021-07-30 15:06:44,4036170,CAR,2,4206,PCAC34A40,A40,PTC V
2334,2021-08-14 00:02:59,939177,CAR,2,4601,PCC932802,802,PTP V
2335,2021-08-09 19:19:36,7580388,CAR,2,4215,PC4C76F48,F48,PTP V
2336,2021-08-09 00:59:00,5562181,CAR,2,4257,PC1AB9C93,C93,PTE V
2337,2021-08-10 01:43:17,2415713,CAR,2,4227,PCD8346A6,6A6,PTE V
2338,2021-08-07 11:32:34,2822394,VAN,2,4604,PC0553E32,E32,PTE V
2339,2021-08-22 07:23:48,8913290,CAR,2,4563,PCA214501,501,PTC V
2340,2021-08-02 07:57:01,2293565,CAR,2,4866,PC3137434,434,PTC V
2341,2021-08-15 10:23:18,4900866,TRUCK,4,4337,PCCF6A454,454,PTE V
2342,2021-08-06 21:20:06,1421478,CAR,2,4052,PC25E70B7,0B7,PTC V
2343,2021-08-05 23:21:08,5842605,CAR,2,4124,PC3338D42,D42,PTE V
2344,2021-08-16 03:20:55,208597,VAN,2,4658,PC1A58039,039,PTP V
2345,2021-08-13 10:32:14,5622316,CAR,2,4142,PC7ACFF7C,F7C,PTP V
2346,2021-08-20 16:08:06,9663007,CAR,2,4070,PCEECA8B2,8B2,PTP V
2347,2021-08-03 01:46:34,1638578,CAR,2,4790,PC2387B02,B02,PTC V
2348,2021-08-19 21:02:23,2532322,CAR,2,4610,PCA4D3E9B,E9B,PTP V
2349,2021-08-19 11:12:44,7918655,CAR,2,4724,PC3DE08BF,8BF,PTP V
2350,2021-08-05 13:48:42,9938856,CAR,2,4783,PC9889263,263,PTP V
2351,2021-08-03 18:55:46,9695966,CAR,2,4502,PCB2CC82C,82C,PTE V
2352,2021-08-21 01:18:25,9368098,CAR,2,4533,PC8DA1D3B,D3B,PTP V
2353,2021-08-13 01:45:10,3091104,TRUCK,4,4328,PC3777B8E,B8E,PTC V
2354,2021-08-01 05:52:05,1228688,TRUCK,4,4889,PC3547FAD,FAD,PTE V
2355,2021-08-13 19:54:25,4978473,CAR,2,4745,PC6397888,888,PTE V
2356,2021-08-12 05:08:18,1021235,CAR,2,4383,PC4BFE950,950,PTC V
2357,2021-07-30 16:25:40,4034239,CAR,2,4815,PC19C02F1,2F1,PTE V
2358,2021-08-05 09:04:34,382452,TRUCK,4,4511,PCFBEFA9E,A9E,PTE V
2359,2021-08-05 05:30:46,9300835,CAR,2,4685,PC5D33C18,C18,PTP V
2360,2021-08-19 18:42:58,1591492,TRUCK,4,4754,PC99AE725,725,PTE V
2361,2021-08-17 17:48:45,9718468,CAR,2,4405,PC70CA955,955,PTC V
2362,2021-08-05 16:08:33,2508097,CAR,2,4683,PC96978C6,8C6,PTC V
2363,2021-08-01 04:51:16,1707883,CAR,2,4633,PC974552B,52B,PTC V
2364,2021-08-11 14:44:28,6923316,VAN,2,4026,PC2CE9851,851,PTC V
2365,2021-08-03 18:12:26,6098870,TRUCK,4,4152,PCF6F4CA1,CA1,PTP V
2366,2021-08-09 17:01:23,1388802,CAR,2,4816,PCB500A9F,A9F,PTE V
2367,2021-08-15 17:15:49,5377509,CAR,2,4730,PC7DC0964,964,PTE V
2368,2021-08-21 12:42:29,2323339,CAR,2,4612,PC871C1FC,1FC,PTE V
2369,2021-08-04 11:42:45,7854858,CAR,2,4156,PC6BCA05F,05F,PTE V
2370,2021-07-29 15:32:48,8940137,TRUCK,4,4597,PCBDB8BB6,BB6,PTP V
2371,2021-08-12 05:14:32,371476,CAR,2,4652,PC74A3585,585,PTP V
2372,2021-08-12 09:31:14,3462173,CAR,2,4581,PCC347465,465,PTP V
2373,2021-07-31 17:23:19,3646260,TRUCK,4,4228,PC4F78F1B,F1B,PTE V
2374,2021-08-05 18:41:25,6104161,CAR,2,4286,PC12BE494,494,PTC V
2375,2021-08-16 22:18:45,226187,CAR,2,4129,PCA6127FF,7FF,PTP V
2376,2021-08-16 11:32:19,5473322,CAR,2,4380,PC905B5D4,5D4,PTC V
2377,2021-08-21 08:45:44,2931862,VAN,2,4756,PC8AEC6E8,6E8,PTC V
2378,2021-08-09 05:48:49,8105227,TRUCK,4,4233,PC57279D0,9D0,PTC V
2379,2021-08-02 13:40:25,6067944,TRUCK,4,4854,PCB6F1968,968,PTC V
2380,2021-08-08 17:42:28,8716008,CAR,2,4259,PCBB65EF4,EF4,PTP V
2381,2021-07-30 14:58:17,9122828,VAN,2,4587,PC576A3BA,3BA,PTE V
2382,2021-08-16 11:50:55,29271,TRUCK,4,4906,PC3D58C5E,C5E,PTP V
2383,2021-08-04 21:55:52,940938,CAR,2,4657,PCC591410,410,PTE V
2384,2021-08-11 09:31:22,5745091,VAN,2,4907,PCCEEF65A,65A,PTC V
2385,2021-08-22 05:05:36,5825255,TRUCK,4,4259,PCBB65EF4,EF4,PTP V
2386,2021-08-11 21:52:09,736458,VAN,2,4398,PCE60D320,320,PTC V
2387,2021-08-19 01:24:06,2143542,CAR,2,4356,PCF1979AE,9AE,PTC V
2388,2021-08-02 22:33:26,4929205,CAR,2,4942,PCD51A740,740,PTE V
2389,2021-08-21 02:41:45,2107435,CAR,2,4927,PC2D22627,627,PTC V
2390,2021-08-12 01:17:32,764188,CAR,2,4058,PC3415EA4,EA4,PTE V
2391,2021-08-03 07:38:22,4464115,CAR,2,4728,PC07BF95F,95F,PTE V
2392,2021-08-12 18:06:25,3367963,TRUCK,4,4557,PC6C80A46,A46,PTE V
2393,2021-08-19 04:47:43,4396339,TRUCK,4,4130,PC9F22103,103,PTP V
2394,2021-08-19 18:58:09,2891442,CAR,2,4995,PCBE6ABE5,BE5,PTE V
2395,2021-08-20 17:04:40,751154,CAR,2,4104,PC0A63844,844,PTP V
2396,2021-08-08 05:32:53,5688186,CAR,2,4348,PCD66314D,14D,PTE V
2397,2021-08-10 16:12:39,5529818,CAR,2,4599,PC800C92D,92D,PTE V
2398,2021-08-08 21:09:43,5311120,CAR,2,4975,PC818101A,01A,PTC V
2399,2021-08-13 16:20:16,3750012,CAR,2,4263,PCD6DBA1D,A1D,PTP V
2400,2021-08-06 08:00:29,208207,CAR,2,4985,PCCA71D2C,D2C,PTC V
2401,2021-08-03 22:44:47,2926595,VAN,2,4502,PCB2CC82C,82C,PTC V
2402,2021-08-20 18:37:28,1575438,CAR,2,4061,PC3A63A79,A79,PTP V
2403,2021-08-11 00:41:08,6733524,CAR,2,4186,PC922BA3E,A3E,PTP V
2404,2021-08-03 12:47:56,7492188,CAR,2,4072,PC69F3F14,F14,PTP V
2405,2021-08-04 18:02:50,1135479,CAR,2,4309,PC5E92F61,F61,PTC V
2406,2021-08-07 09:45:46,3138965,CAR,2,4025,PC5ABB8E4,8E4,PTC V
2407,2021-08-20 01:47:26,7852976,TRUCK,4,4304,PC89FB76E,76E,PTE V
2408,2021-08-04 11:27:10,632828,TRUCK,4,4842,PC16F5A24,A24,PTC V
2409,2021-08-15 08:03:00,2585797,CAR,2,4439,PC845CEA6,EA6,PTE V
2410,2021-08-14 12:34:36,8101085,CAR,2,4051,PC3B970F2,0F2,PTE V
2411,2021-08-14 12:45:50,9158382,CAR,2,4961,PC92C5115,115,PTP V
2412,2021-08-17 06:10:20,8641771,TRUCK,4,4242,PCECC4DE2,DE2,PTP V
2413,2021-08-15 04:23:28,845364,CAR,2,4394,PCD3A817A,17A,PTP V
2414,2021-08-04 15:18:08,1588316,CAR,2,4049,PC4779D38,D38,PTE V
2415,2021-08-05 19:42:49,3401822,VAN,2,4279,PCCA817EB,7EB,PTP V
2416,2021-08-21 18:37:31,9320107,CAR,2,4497,PC76FDDEA,DEA,PTC V
2417,2021-08-01 00:18:23,3865123,TRUCK,4,4027,PCE7A4F34,F34,PTE V
2418,2021-08-07 23:53:41,7275070,CAR,2,4835,PC4645718,718,PTP V
2419,2021-08-08 21:31:19,2321017,CAR,2,4718,PC81E83B9,3B9,PTP V
2420,2021-08-08 19:54:27,7673521,TRUCK,4,4177,PC9194382,382,PTC V
2421,2021-08-13 23:31:48,4956858,CAR,2,4777,PCB1132AC,2AC,PTC V
2422,2021-08-08 21:47:22,9993450,CAR,2,4189,PC7655FC1,FC1,PTP V
2423,2021-08-16 18:18:12,7561525,TRUCK,4,4976,PC5149039,039,PTP V
2424,2021-08-07 13:00:46,8108874,CAR,2,4893,PC3743587,587,PTC V
2425,2021-07-30 11:34:16,6655900,CAR,2,4992,PCFF0FEB0,EB0,PTE V
2426,2021-08-09 14:43:20,4698822,CAR,2,4873,PCE01E4DF,4DF,PTP V
2427,2021-08-08 03:28:10,5388815,CAR,2,4453,PC5EC8DF5,DF5,PTE V
2428,2021-07-30 04:43:07,9886417,CAR,2,4769,PC10C50DC,0DC,PTE V
2429,2021-08-22 12:27:16,5488910,CAR,2,4408,PC3B3BE8F,E8F,PTP V
2430,2021-08-21 07:56:09,3725986,CAR,2,4548,PC4486317,317,PTE V
2431,2021-08-13 05:13:41,9352049,TRUCK,4,4189,PC7655FC1,FC1,PTP V
2432,2021-08-09 18:23:22,1984622,CAR,2,4418,PCF6EECB2,CB2,PTP V
2433,2021-08-21 04:30:46,6697706,CAR,2,4414,PC40BD0F3,0F3,PTP V
2434,2021-08-09 11:36:07,1323739,TRUCK,4,4673,PC66E7418,418,PTP V
2435,2021-07-30 08:40:44,3216208,CAR,2,4949,PC86E9EB7,EB7,PTE V
2436,2021-08-22 06:04:30,4626751,CAR,2,4716,PCFCB0018,018,PTP V
2437,2021-07-31 12:51:02,5504023,CAR,2,4548,PC4486317,317,PTE V
2438,2021-08-21 21:16:08,2752020,CAR,2,4586,PC4A40D50,D50,PTP V
2439,2021-08-17 17:58:32,1060400,CAR,2,4131,PC4C9B108,108,PTC V
2440,2021-08-20 06:38:28,635938,CAR,2,4284,PC0DB49FD,9FD,PTE V
2441,2021-07-31 07:13:35,286361,CAR,2,4167,PC8453073,073,PTC V
2442,2021-08-01 20:06:20,2978497,CAR,2,4135,PCC943ECD,ECD,PTP V
2443,2021-08-13 17:16:26,9188647,CAR,2,4639,PC879E7AB,7AB,PTE V
2444,2021-08-20 08:27:45,3704819,CAR,2,4098,PC89C0554,554,PTP V
2445,2021-07-30 19:40:59,2705646,CAR,2,4765,PC795A0A3,0A3,PTP V
2446,2021-08-08 11:58:44,4282435,TRUCK,4,4389,PC7688C61,C61,PTE V
2447,2021-08-03 00:30:19,8884177,CAR,2,4293,PC2A27502,502,PTP V
2448,2021-08-16 09:03:13,5880487,CAR,2,4981,PC6B14C5D,C5D,PTE V
2449,2021-08-08 10:56:03,5864894,TRUCK,4,4235,PCFB11406,406,PTE V
2450,2021-08-01 23:32:33,850468,CAR,2,4126,PC74CE451,451,PTE V
2451,2021-08-15 11:48:22,5256095,TRUCK,4,4955,PCE36723C,23C,PTC V
2452,2021-08-17 10:15:11,4838062,VAN,2,4800,PCA4DF48A,48A,PTP V
2453,2021-08-18 08:40:46,5580721,VAN,2,4324,PC9C3D708,708,PTE V
2454,2021-08-10 16:48:20,8389825,VAN,2,5004,PC2111CF9,CF9,PTC V
2455,2021-08-18 12:05:14,2160458,CAR,2,4373,PC8806694,694,PTC V
2456,2021-08-17 18:31:43,2906379,CAR,2,4357,PC434FA62,A62,PTE V
2457,2021-08-08 07:20:08,8976339,CAR,2,4539,PC684859B,59B,PTP V
2458,2021-08-05 05:56:28,509471,CAR,2,4967,PC2AFCB31,B31,PTC V
2459,2021-08-16 14:07:56,9228444,CAR,2,4342,PCE7F2748,748,PTC V
2460,2021-08-07 11:52:53,739519,CAR,2,4241,PC7241796,796,PTE V
2461,2021-08-17 13:21:03,7338498,CAR,2,4470,PCB4FF8FA,8FA,PTP V
2462,2021-08-17 08:11:31,8819997,TRUCK,4,4251,PCB30E45F,45F,PTP V
2463,2021-08-18 01:30:00,3729795,TRUCK,4,4389,PC7688C61,C61,PTE V
2464,2021-08-10 02:01:43,6793174,TRUCK,4,4995,PCBE6ABE5,BE5,PTC V
2465,2021-07-30 10:27:54,8469780,TRUCK,4,4864,PC259547F,47F,PTE V
2466,2021-08-20 00:15:25,4625148,CAR,2,4593,PC3863F6A,F6A,PTP V
2467,2021-08-08 17:11:49,3664211,CAR,2,4932,PC46C4A27,A27,PTC V
2468,2021-08-07 15:58:35,3541118,CAR,2,4452,PC8C7C5D7,5D7,PTE V
2469,2021-08-14 15:47:20,9350175,TRUCK,4,4517,PC9AF321D,21D,PTC V
2470,2021-07-30 09:29:49,8661324,CAR,2,4819,PC454F09B,09B,PTC V
2471,2021-08-18 20:07:27,1348753,VAN,2,4473,PC51FDD60,D60,PTE V
2472,2021-08-19 21:52:52,6507004,VAN,2,4023,PC77793DF,3DF,PTC V
2473,2021-08-17 19:25:32,4234641,CAR,2,4323,PC1D9ADA9,DA9,PTP V
2474,2021-08-19 23:40:49,7017857,TRUCK,4,4176,PC11E9595,595,PTP V
2475,2021-08-05 21:20:50,2784669,CAR,2,4357,PC434FA62,A62,PTP V
2476,2021-08-16 05:04:29,3169810,CAR,2,4021,PC851E565,565,PTC V
2477,2021-08-04 10:44:42,9191731,TRUCK,4,4567,PC2C5C1F3,1F3,PTC V
2478,2021-08-08 06:08:09,8680760,CAR,2,4141,PC13CB69B,69B,PTP V
2479,2021-08-10 13:18:26,5810307,CAR,2,4121,PCEC57A8E,A8E,PTC V
2480,2021-08-13 20:13:25,624331,VAN,2,4832,PC34ECAB5,AB5,PTC V
2481,2021-08-01 21:57:29,7794242,CAR,2,4376,PCA283923,923,PTC V
2482,2021-07-31 09:30:13,8225604,CAR,2,4466,PC6E93A05,A05,PTC V
2483,2021-08-18 16:41:48,2625080,CAR,2,4829,PCEC030F2,0F2,PTP V
2484,2021-08-12 05:26:53,5144439,CAR,2,4951,PCE9CE23F,23F,PTP V
2485,2021-08-12 00:05:40,3790896,CAR,2,4102,PC8C9B099,099,PTP V
2486,2021-08-21 18:03:36,1283238,CAR,2,4246,PC95F5F6B,F6B,PTE V
2487,2021-07-30 19:05:02,8877352,TRUCK,4,4801,PC119E3A6,3A6,PTP V
2488,2021-08-02 13:19:07,4656256,CAR,2,4615,PC1ECBA39,A39,PTE V
2489,2021-08-18 18:07:00,2334164,TRUCK,4,4748,PCF2ECD29,D29,PTC V
2490,2021-08-05 07:09:15,3976368,TRUCK,4,4843,PC400DFFE,FFE,PTP V
2491,2021-08-04 18:40:59,3929327,CAR,2,4165,PC0D2B95C,95C,PTC V
2492,2021-08-20 19:44:07,8112065,TRUCK,4,4023,PC77793DF,3DF,PTC V
2493,2021-08-16 14:08:22,2442180,VAN,2,4411,PC3AA93E6,3E6,PTE V
2494,2021-07-30 08:31:26,6761455,CAR,2,4078,PC8473A64,A64,PTP V
2495,2021-08-19 08:08:25,278933,CAR,2,4966,PC4E6422C,22C,PTP V
2496,2021-08-08 02:26:16,7306445,CAR,2,4352,PC99B9343,343,PTP V
2497,2021-08-18 00:38:47,3936043,CAR,2,4514,PC374C341,341,PTP V
2498,2021-08-13 23:43:55,8247476,CAR,2,4457,PCFBF2259,259,PTC V
2499,2021-08-07 18:16:11,7529143,TRUCK,4,4491,PCA52F720,720,PTP V
2500,2021-08-21 17:27:58,456268,CAR,2,4230,PC19CE0DB,0DB,PTC V
2501,2021-08-14 19:04:20,1534775,TRUCK,4,4712,PC94168A2,8A2,PTP V
2502,2021-08-18 15:08:35,235822,VAN,2,4356,PCF1979AE,9AE,PTP V
2503,2021-08-14 09:54:00,8965339,CAR,2,4083,PC90346C9,6C9,PTP V
2504,2021-08-15 02:34:56,8140556,TRUCK,4,4129,PCA6127FF,7FF,PTP V
2505,2021-08-14 11:19:35,4245691,CAR,2,4545,PC419B1CB,1CB,PTC V
2506,2021-08-17 01:34:57,9562181,TRUCK,4,5002,PC585BD38,D38,PTP V
2507,2021-08-21 09:20:44,9369195,CAR,2,4426,PCC0E943C,43C,PTC V
2508,2021-08-14 14:24:08,6636018,TRUCK,4,4000,PC69C7DF3,DF3,PTP V
2509,2021-08-13 12:44:04,2767983,CAR,2,4350,PCEDD7E85,E85,PTE V
2510,2021-08-10 16:52:44,6468020,CAR,2,4747,PC5E524A1,4A1,PTE V
2511,2021-08-18 02:24:55,7030896,CAR,2,4470,PCB4FF8FA,8FA,PTE V
2512,2021-08-20 12:22:01,9040684,CAR,2,4957,PC8DFFE65,E65,PTP V
2513,2021-08-19 12:23:04,4323952,TRUCK,4,4789,PCBE8B2AB,2AB,PTE V
2514,2021-08-10 19:46:41,5363679,CAR,2,4637,PCE9C770E,70E,PTE V
2515,2021-08-12 23:45:20,2686707,CAR,2,4668,PCBB055C6,5C6,PTE V
2516,2021-08-13 14:15:33,8569812,CAR,2,4583,PC0567192,192,PTP V
2517,2021-07-31 05:05:15,7094424,TRUCK,4,4697,PCFDB2BA6,BA6,PTC V
2518,2021-08-08 19:45:49,9121330,TRUCK,4,4453,PC5EC8DF5,DF5,PTP V
2519,2021-08-13 01:58:20,739165,TRUCK,4,4816,PCB500A9F,A9F,PTE V
2520,2021-08-17 14:11:59,3366701,TRUCK,4,4373,PC8806694,694,PTP V
2521,2021-08-15 16:27:55,8475949,CAR,2,4648,PC576AD85,D85,PTE V
2522,2021-08-22 00:44:00,9157314,CAR,2,4841,PCE45DE8D,E8D,PTP V
2523,2021-08-04 00:23:58,1788348,CAR,2,4734,PCE4C5D8E,D8E,PTE V
2524,2021-08-08 23:10:02,9068512,TRUCK,4,4166,PCE450C55,C55,PTE V
2525,2021-08-20 11:55:12,5627735,CAR,2,4772,PC7368097,097,PTC V
2526,2021-08-11 00:41:57,5138193,CAR,2,4757,PC126524C,24C,PTC V
2527,2021-07-30 00:48:09,1247680,CAR,2,4987,PCF4A9637,637,PTE V
2528,2021-08-18 12:42:12,9562498,CAR,2,4672,PC03AE86F,86F,PTP V
2529,2021-08-16 15:21:50,5528211,TRUCK,4,4836,PCE78024A,24A,PTE V
2530,2021-08-05 00:47:32,3621157,CAR,2,4414,PC40BD0F3,0F3,PTP V
2531,2021-08-16 21:33:12,6595490,VAN,2,4430,PC52EA95D,95D,PTE V
2532,2021-08-14 21:31:43,9115257,VAN,2,4114,PC4CD2B81,B81,PTP V
2533,2021-08-02 01:07:34,470359,CAR,2,5007,PC869BDE8,DE8,PTE V
2534,2021-08-21 13:43:57,3215207,CAR,2,4932,PC46C4A27,A27,PTE V
2535,2021-08-11 11:28:52,9986413,CAR,2,4082,PCF86214E,14E,PTE V
2536,2021-08-16 17:04:50,235511,TRUCK,4,4120,PC6700C62,C62,PTC V
2537,2021-08-15 07:59:39,2680742,TRUCK,4,4198,PCB0994D1,4D1,PTE V
2538,2021-08-18 02:59:49,4862591,VAN,2,4891,PC57036DA,6DA,PTP V
2539,2021-08-04 03:26:06,1887312,CAR,2,4852,PC68969FB,9FB,PTC V
2540,2021-08-21 02:53:20,8533026,TRUCK,4,4600,PCB99E8F9,8F9,PTC V
2541,2021-08-01 10:18:31,6588186,CAR,2,4250,PCC695DB0,DB0,PTC V
2542,2021-08-08 17:16:47,4275984,CAR,2,4910,PC75BC2DF,2DF,PTP V
2543,2021-08-05 00:29:28,581996,CAR,2,4769,PC10C50DC,0DC,PTE V
2544,2021-08-17 03:32:43,5946672,TRUCK,4,4626,PC93E7766,766,PTE V
2545,2021-08-13 09:50:36,4965045,CAR,2,4102,PC8C9B099,099,PTC V
2546,2021-08-22 14:33:28,6775664,CAR,2,4478,PCB02917E,17E,PTE V
2547,2021-08-03 01:42:18,5256434,CAR,2,4074,PCCAFD014,014,PTC V
2548,2021-08-11 04:37:47,8940248,CAR,2,4376,PCA283923,923,PTP V
2549,2021-08-03 07:00:45,9388822,CAR,2,4479,PCCA36E4D,E4D,PTC V
2550,2021-08-03 07:24:18,5286416,TRUCK,4,4832,PC34ECAB5,AB5,PTC V
2551,2021-08-16 13:28:50,9492828,CAR,2,4553,PC1D57D7F,D7F,PTC V
2552,2021-08-13 07:47:38,2406598,TRUCK,4,4550,PC21A1833,833,PTC V
2553,2021-08-17 19:22:00,8914418,CAR,2,4564,PC29D136F,36F,PTE V
2554,2021-08-02 02:11:19,965869,VAN,2,4580,PC48664B7,4B7,PTE V
2555,2021-08-11 07:48:31,5027808,CAR,2,4333,PCCCAD2AC,2AC,PTE V
2556,2021-08-05 07:59:01,9616538,TRUCK,4,4285,PCB524A9F,A9F,PTC V
2557,2021-08-05 19:31:33,2354498,CAR,2,4497,PC76FDDEA,DEA,PTE V
2558,2021-08-21 12:10:14,9734520,CAR,2,4329,PCF9CCB5A,B5A,PTC V
2559,2021-08-21 20:51:27,1324683,VAN,2,4658,PC1A58039,039,PTE V
2560,2021-07-30 11:02:01,653766,TRUCK,4,4898,PC0AE9E1B,E1B,PTC V
2561,2021-07-30 00:23:45,168532,TRUCK,4,4139,PC924C594,594,PTC V
2562,2021-08-05 01:40:30,6652157,CAR,2,4081,PCC825DB2,DB2,PTE V
2563,2021-08-07 06:56:23,2976438,TRUCK,4,4194,PC96AD1EB,1EB,PTP V
2564,2021-08-02 21:26:19,5132790,CAR,2,4084,PC71D433F,33F,PTC V
2565,2021-08-14 15:19:45,4529955,CAR,2,4281,PC2804C85,C85,PTE V
2566,2021-08-12 00:42:18,1689578,CAR,2,4285,PCB524A9F,A9F,PTP V
2567,2021-08-04 16:13:33,7390427,CAR,2,4154,PC2C2EF9E,F9E,PTE V
2568,2021-08-15 04:36:16,212966,TRUCK,4,4928,PC16E79D4,9D4,PTP V
2569,2021-08-02 03:44:31,4626329,CAR,2,4066,PC883FCA9,CA9,PTC V
2570,2021-07-31 17:10:31,582983,CAR,2,4758,PCCE12794,794,PTE V
2571,2021-08-03 16:22:05,6415311,CAR,2,4679,PC88494D0,4D0,PTP V
2572,2021-08-08 23:55:20,2025201,VAN,2,4584,PC1085B78,B78,PTC V
2573,2021-08-16 07:41:14,6636442,VAN,2,4372,PC1E0F3B6,3B6,PTP V
2574,2021-08-06 11:42:03,520208,VAN,2,4801,PC119E3A6,3A6,PTE V
2575,2021-08-03 14:48:05,5924388,CAR,2,4695,PC4A5D62F,62F,PTP V
2576,2021-08-13 03:01:44,7397736,CAR,2,4752,PC99A4177,177,PTC V
2577,2021-08-17 20:38:59,8390915,CAR,2,4826,PCE1DDBB4,BB4,PTE V
2578,2021-08-02 07:08:30,767864,CAR,2,4786,PCB7F1F8A,F8A,PTE V
2579,2021-08-06 08:34:34,2244410,CAR,2,4219,PC40E6113,113,PTC V
2580,2021-08-07 10:02:04,6093278,CAR,2,4487,PCA92F2BD,2BD,PTC V
2581,2021-08-13 01:02:03,3708274,VAN,2,4586,PC4A40D50,D50,PTP V
2582,2021-08-12 21:05:42,7449792,CAR,2,4516,PCF7F25B7,5B7,PTC V
2583,2021-08-10 14:18:27,7449385,TRUCK,4,4869,PCF775FA6,FA6,PTE V
2584,2021-08-14 14:08:49,9883762,CAR,2,4711,PC340B4DE,4DE,PTE V
2585,2021-08-15 12:41:52,565331,CAR,2,4170,PC8CA1B15,B15,PTC V
2586,2021-08-03 15:34:20,1634285,CAR,2,4141,PC13CB69B,69B,PTP V
2587,2021-08-03 02:39:34,2903232,CAR,2,4627,PCA965149,149,PTE V
2588,2021-08-12 15:48:04,8958561,TRUCK,4,4782,PC6802C08,C08,PTE V
2589,2021-08-21 08:54:41,1023797,CAR,2,4453,PC5EC8DF5,DF5,PTP V
2590,2021-07-30 15:52:38,9172998,CAR,2,4156,PC6BCA05F,05F,PTC V
2591,2021-08-18 11:58:37,4904226,CAR,2,4462,PCE29AA1A,A1A,PTP V
2592,2021-08-05 14:10:34,9038987,CAR,2,4069,PCC48608C,08C,PTC V
2593,2021-08-18 00:47:39,6406590,VAN,2,4113,PC78D4122,122,PTE V
2594,2021-07-30 01:59:51,875114,VAN,2,4100,PCC6DD8D5,8D5,PTE V
2595,2021-08-12 02:47:23,5289058,TRUCK,4,4280,PC03A5F23,F23,PTP V
2596,2021-08-16 14:53:16,4749205,CAR,2,4600,PCB99E8F9,8F9,PTP V
2597,2021-08-13 06:09:04,9737963,TRUCK,4,4154,PC2C2EF9E,F9E,PTE V
2598,2021-08-01 18:27:51,6434826,CAR,2,4428,PCB616FAD,FAD,PTC V
2599,2021-08-13 03:37:13,7495880,CAR,2,4613,PCEBBFFB5,FB5,PTP V
2600,2021-08-17 02:21:41,5521690,CAR,2,4179,PC5738A82,A82,PTP V
2601,2021-08-09 08:30:03,8394179,CAR,2,4983,PCC3E4ADA,ADA,PTC V
2602,2021-08-04 04:50:25,5225129,CAR,2,4697,PCFDB2BA6,BA6,PTC V
2603,2021-07-29 16:38:29,6739882,TRUCK,4,4483,PC7F7FFF0,FF0,PTP V
2604,2021-08-04 17:55:37,9410321,CAR,2,4486,PC3AF69A3,9A3,PTC V
2605,2021-08-08 06:57:05,4117834,VAN,2,4990,PCFE28E92,E92,PTC V
2606,2021-08-16 02:09:11,9456387,CAR,2,4871,PC397AFA3,FA3,PTE V
2607,2021-08-09 01:03:09,7705841,CAR,2,4996,PC6A4F55F,55F,PTP V
2608,2021-08-03 19:14:33,7359785,CAR,2,4552,PC05BD3DF,3DF,PTC V
2609,2021-08-11 18:59:45,3271325,CAR,2,4941,PCA6403C1,3C1,PTC V
2610,2021-08-10 14:37:16,6452717,CAR,2,4794,PC4E1366E,66E,PTE V
2611,2021-08-06 17:49:31,2126880,TRUCK,4,4747,PC5E524A1,4A1,PTP V
2612,2021-07-29 22:28:41,4337936,CAR,2,4022,PCF135377,377,PTC V
2613,2021-08-08 16:28:13,6588286,VAN,2,4835,PC4645718,718,PTE V
2614,2021-08-03 22:57:33,9893046,CAR,2,4025,PC5ABB8E4,8E4,PTC V
2615,2021-08-04 15:41:09,7024032,TRUCK,4,4750,PCD987A9D,A9D,PTP V
2616,2021-08-13 07:08:16,9457014,CAR,2,4481,PC30AAE76,E76,PTC V
2617,2021-08-03 00:22:38,8990830,CAR,2,4809,PCAD363FC,3FC,PTP V
